"Designator","Comment","Layer","Footprint","Mid X(mm)","Mid Y(mm)","Rotation","Description"
"D1","D_SCHOTTKY_SOD_323","Bottom","SOD-323","15.4300","4.3300","180","Diode Schottky SMD SOD-323"
"Cbst2","100nF","Bottom","CAP_0201","7.7600","20.9400","90","Capacitor SMD 0201"
"Cbst1","100nF","Bottom","CAP_0201","23.0500","9.8100","180","Capacitor SMD 0201"
"C64","470nF","Top","CAP_0402","4.2200","8.5800","0","Capacitor SMD 0402"
"C63","100nF","Top","CAP_0201","3.9500","7.8500","180","Capacitor SMD 0201"
"C62","10pF","Top","CAP_0201","3.8500","3.2150","90","Capacitor SMD 0201"
"C61","10pF","Bottom","CAP_0201","6.1600","8.9000","180","Capacitor SMD 0201"
"C60","10pF","Top","CAP_0201","2.4000","2.0200","180","Capacitor SMD 0201"
"C59","10pF","Bottom","CAP_0201","7.2600","7.6800","270","Capacitor SMD 0201"
"C58","100nF","Top","CAP_0201","1.7400","12.0100","180","Capacitor SMD 0201"
"C57","10nF","Top","CAP_0201","-1.3100","4.5800","270","Capacitor SMD 0201"
"C56","10nF","Top","CAP_0201","-0.0200","4.0880","270","Capacitor SMD 0201"
"C55","100nF","Bottom","CAP_0201","6.5400","3.9300","180","Capacitor SMD 0201"
"C54","10uF","Bottom","CAP_0402","0.6900","3.4300","90","Capacitor SMD 0402"
"C52","10uF","Bottom","CAP_0402","6.6300","5.6400","90","Capacitor SMD 0402"
"C50","100nF","Top","CAP_0201","8.6100","4.0900","0","Capacitor SMD 0201"
"C49","100nF","Top","CAP_0201","15.0700","3.9100","0","Capacitor SMD 0201"
"C48","100nF","Bottom","CAP_0201","7.8700","12.1500","270","Capacitor SMD 0201"
"C47","10nF","Top","CAP_0201","13.6600","3.8900","180","Capacitor SMD 0201"
"C45","100nF","Bottom","CAP_0201","11.1300","2.9000","180","Capacitor SMD 0201"
"C43","100nF","Bottom","CAP_0201","12.8100","4.8400","270","Capacitor SMD 0201"
"C42","2.2uF","Top","CAP_0402","10.1600","3.3000","180","Capacitor SMD 0402"
"C41","100nF","Top","CAP_0201","9.9650","4.0800","180","Capacitor SMD 0201"
"C40","100uF","Top","CAP_0805","10.3600","1.8400","0","Capacitor SMD 0805"
"C38","1uF","Bottom","CAP_0402","5.7800","-0.8400","180","Capacitor SMD 0402"
"C37","1uF","Bottom","CAP_0402","11.2100","-1.7500","180","Capacitor SMD 0402"
"C36","1uF","Bottom","CAP_0402","17.4800","10.0100","180","Capacitor SMD 0402"
"C35","1uF","Bottom","CAP_0402","5.3600","1.3950","180","Capacitor SMD 0402"
"C32","1uF","Bottom","CAP_0402","9.7100","-0.7500","90","Capacitor SMD 0402"
"C31","1uF","Bottom","CAP_0402","17.3400","7.8000","180","Capacitor SMD 0402"
"C30","NFM18PC225B1A3D","Top","NFM18PC225B1A3D","2.3100","13.0000","180","Capacitor"
"C29","10nF","Bottom","CAP_0201","12.0000","23.7300","270","Capacitor SMD 0201"
"C28","1uF","Bottom","CAP_0402","6.9400","22.5700","270","Capacitor SMD 0402"
"C27","22uF","Bottom","CAP_0603","4.6300","23.5700","0","Capacitor SMD 0603"
"C26","22uF","Bottom","CAP_0603","4.6600","22.3100","0","Capacitor SMD 0603"
"C25","10p","Bottom","CAP_0201","10.5100","24.0800","90","Capacitor SMD 0201"
"C24","10uF","Bottom","CAP_0805","16.4400","22.4500","270","Capacitor SMD 0805"
"C23","10uF","Bottom","CAP_0805","14.4600","22.4300","270","Capacitor SMD 0805"
"C22","2.2uF","Bottom","CAP_0402","15.9000","0.9600","90","Capacitor SMD 0402"
"C21","2.2uF","Bottom","CAP_0402","14.3500","0.9400","90","Capacitor SMD 0402"
"C20","10nF","Bottom","CAP_0201","21.1290","14.4290","270","Capacitor SMD 0201"
"C19","1uF","Bottom","CAP_0402","21.8000","8.9700","0","Capacitor SMD 0402"
"C18","47uF","Bottom","CAP_0603","18.2500","5.0700","90","Capacitor SMD 0603"
"C17","47uF","Bottom","CAP_0603","19.4500","5.1000","90","Capacitor SMD 0603"
"C16","10p","Bottom","CAP_0201","19.6200","12.3700","180","Capacitor SMD 0201"
"C15","10uF","Bottom","CAP_0805","23.4000","16.9000","180","Capacitor SMD 0805"
"C14","10uF","Bottom","CAP_0805","23.4000","15.0100","180","Capacitor SMD 0805"
"C13","100nF","Top","CAP_0201","6.3500","11.8600","180","Capacitor SMD 0201"
"C12","2.2uF","Bottom","CAP_0402","12.1900","13.2800","0","Capacitor SMD 0402"
"C11","100nF","Top","CAP_0201","7.1120","9.1440","270","Capacitor SMD 0201"
"C10","100nF","Bottom","CAP_0201","8.6200","14.0600","270","Capacitor SMD 0201"
"C9","1uF","Top","CAP_0402","6.4100","9.8900","90","Capacitor SMD 0402"
"C8","100nF","Top","CAP_0201","7.2200","10.4400","270","Capacitor SMD 0201"
"C7","100nF","Bottom","CAP_0201","8.6400","15.4400","90","Capacitor SMD 0201"
"C6","4.7uF","Bottom","CAP_0402","9.4000","15.1600","90","Capacitor SMD 0402"
"C5","4.7uF","Bottom","CAP_0402","14.1600","10.7900","180","Capacitor SMD 0402"
"C4","100nF","Bottom","CAP_0201","14.1300","11.5600","180","Capacitor SMD 0201"
"C3","1uF","Bottom","CAP_0402","12.2000","11.4000","180","Capacitor SMD 0402"
"C2","100nF","Bottom","CAP_0201","10.9100","11.9500","270","Capacitor SMD 0201"
"C1","2.2uF","Bottom","CAP_0402","12.2000","12.4400","180","Capacitor SMD 0402"
"BMI","BMI270","Top","BMI270","14.2220","5.6610","0","Integrated Circuit"
"3","ME6211C33U4AG-N","Bottom","X2-SON-4-EP(1X1)","17.3500","8.9400","0","Integrated Circuit"
"2","ME6211C33U4AG-N","Bottom","X2-SON-4-EP(1X1)","5.6000","0.3000","0","Integrated Circuit"
"1","ME6211C33U4AG-N","Bottom","X2-SON-4-EP(1X1)","10.8500","-0.6550","0","Integrated Circuit"
